School Name,School Link
Makakilo Elementary School,https://www.makakiloelementary.k12.hi.us/
Mogadore Junior High School,https://www.mogadore.net/
Southeast Junior High School,https://www.sepirates.org/
Phelps Elementary School,https://www.phelps.k12.wi.us/
Hermitage High School,https://www.mshsaa.org/Schools/AccountInfo.aspx?s=316
White Cliffs Middle School,https://wcms.kusd.org/
Pine Hills Elementary School,https://www.albanyschools.org/schools/pinehills/index
Lidgerwood High School,https://www.lidgerwoodk12.com/
Log College Middle School,https://lcms.centennialsd.org/
Bessemer City Middle School,https://www.gaston.k12.nc.us/bcmiddle
Fairplains Elementary School,https://www.woodcountyschoolswv.com/o/fe
Meridian Middle School,https://www.garyaknox.craneschools.org/
Spruce Elementary School,https://spe.edmonds.wednet.edu/
Union Park Elementary School,https://unionparkes.ocps.net/
Joseph A. Campbell Elementary School,https://www.dracutps.org/o/ces
Broadmoor Junior High School,https://www.pekin.net/o/bjhs
Gary A. Knox Elementary School,https://www.garyaknox.craneschools.org/
San Antonio Elementary School,https://sanantonioes.lausd.org/
Keystone School,https://www.keystonerangers.org/
Mattie Wells Elementary School,https://wes.jones.k12.ga.us/
Park Falls Elementary School,https://pfes.csdk12.net/
Northland Pines Middle School,https://www.npsd.k12.wi.us/schools/middle/
Sullivan County High School,https://www.sulcosd.k12.pa.us/Domain/53
South Brunswick Middle School,https://www.bcswan.net/SBMS
Alliance Piera Barabaglia Shaheen Health Services Academy,https://www.pbshsa.org/
Chimneyrock Elementary School,https://schools.scsk12.org/chimneyrock-es
Breckinridge County High School,https://bchs.breck.kyschools.us/
Lyons Mill Elementary School,https://lyonsmilles.bcps.org/
Westhope High School,https://www.westhope.k12.nd.us/
Fords Prairie Elementary School,https://fpes.centraliaschooldistrict.org/
Two Rivers High School,https://www.trgators.org/
Patrick Elementary School,https://www.aisd.net/patrick-elementary/
Englewood High School,https://ehs.englewoodschools.net/
Washington High School,https://www.beaufort.k12.nc.us/washington
Dora Moore School,https://moore.dpsk12.org/
Webster County High School,https://www.websterbobcats.org/
Gus Garcia Young Men's Leadership Academy,https://www.austinisd.org/schools/garciaymla
Forest Park Elementary School,https://www.wsfcs.k12.nc.us/fpes
Connolly School,https://connolly.glencoveschools.org/
Triangle Elementary School,https://trianglees.pwcs.edu/
Charles H. Barrows STEM Academy,https://cbs.windhamps.org/
Taos Middle School,https://www.taosschools.org/o/tams
Sherwood Middle School,https://www.sherwoodk12.net/District/Department/2-Middle-School
Rushville Elementary School West,https://www.rushville.k12.in.us/o/res
James F. Murray School - P.S. 38,https://ps38.jcboe.org/
P.S. 120 - Carlos Tapia,https://www.ps120k.org/
North Tama High School,https://n-tama.k12.ia.us/
Garden City Elementary School,https://www.rcps.info/garden
Beardsley Junior High School,https://www.beardsleyschool.org/apps/pages/index.jsp?uREC_ID=3567212&type=d
Carlin Springs Elementary School,https://carlinsprings.apsva.us/
Wauneta-Palisade High School,https://www.waunetapalisadeschools.org/
Lamar Elementary School,https://lamar.conroeisd.net/
Rawlins County Junior/Senior High School,https://www.usd105.org/
Willard Elementary School,https://www.willard.k12.oh.us/willardelementary_home.aspx
Clifton-Fine Elementary School,https://www.cliftonfine.org/
Ballico Elementary School,https://www.ballicocressey.com/
Homer-Center Junior/Senior High School,https://highschool.homercenter.org/
Sweetwater High School,https://sweetwater.k12.ok.us/
Violet Elementary School,https://violet.lakeshoreschools.org/
Richlands Elementary School,https://www.onslow.k12.nc.us/richlandses
Paris Elementary School,https://www.pes.blsd.net/en-US
Independence High School,https://www.indps.k12.wi.us/schools/high/
Hobbton High School,https://www.sampson.k12.nc.us/o/hhs
Ft. Lincoln Elementary School,https://fl.mandan.k12.nd.us/en-US
Ligonier Valley Middle School,https://www.lvsd.k12.pa.us/apps/pages/index.jsp?uREC_ID=1400812&type=d
Easton Middle School,https://tcps.k12.md.us/easton-middle/home/
St. Marys Area Middle School,https://www.ms.smasd.org/
Horton High School,https://www.usd430.org/page/hhs
Ryal Public School,https://www.ryal.k12.ok.us/
Soos Creek Elementary School,https://www.kent.k12.wa.us/SC
Cooper Elementary School,https://www.springisd.org/cooper2
Argonia High School,https://www.argonia359.org/
Godwin Heights Senior High School,https://hs.godwinschools.org/
McGhee Elementary School,https://www.lewistonschools.net/mcg/
Gegan Elementary School,https://mjsd.k12.wi.us/schools/gegan/
St. Elmo Elementary School,https://www.stelmo.org/
Azusa High School,https://ahs.azusa.org/
Kent County Middle School,https://www.kent.k12.md.us/KCMS.aspx
Otis Orchards School,https://www.evsd.org/o/ooe
South Harrison Middle School,https://www.shr2.k12.mo.us/o/shms
Kalei'opu'u Elementary School,https://www.kaleiopuues.k12.hi.us/
Laura B. Wallace Middle School,https://www.hayscisd.net/Page/1418
Climax-Scotts High School,https://www.csschools.net/jrsr-high-school/
Escanaba Upper Elementary School,https://www.eskymos.com/schools/eue
Waverly Elementary School,https://wes.wsd6.org/
Life Academy,https://www.lifeacademyoak.org/
Kelliher Secondary School,https://www.kelliherschools.org/
Wilson School,https://www.wilson.esc17.net/
Philo High School,https://www.franklinlocalschools.org/schools/philo-high-school/
Strathern Street Elementary School,https://strathernstes.lausd.org/
Crowley Middle School,https://www.acadia.k12.la.us/cms
La Tierra Community School,https://latierracommunityschool.org/
J. William Leary Junior High School,https://jwjh.mcs.k12.ny.us/
Bluefield Intermediate School,https://www.boe.merc.k12.wv.us/o/bis
Albany Leadership Charter School for Girls,https://www.albanyleadership.org/
Whetstone High School,https://www.ccsoh.us/whetstonehs
Pima Junior High School,https://www.pimaschools.com/page/junior-high-school-page
McDowell High School,https://www.mcdowell.k12.nc.us/mhs
Monroe Middle School,https://www.hillsboroughschools.org/domain/3740
P.S. 76 - A. Phillip Randolph,https://www.schools.nyc.gov/schools/M076
Acquinton Elementary School,https://aes.kwcps.k12.va.us/
Oak Hill Elementary School,https://ohes.newtoncountyschools.org/
Kerman-Floyd Elementary School,https://www.kermanusd.com/domain/17
Georgetown School,https://public.muscogee.k12.ga.us/Schools/GRG
Brownsboro Elementary School,https://bes.gobearsgo.net/
Pioneer Middle School,https://pio.steilacoom.k12.wa.us/
Wanchese Christian Academy,https://www.wanchesechristianacademy.com/
Martinsville High School,https://mhs.martinsville.k12.va.us/
Fairlawn High School,https://www.fairlawn.k12.oh.us/
Gainesboro Elementary School,https://ges.jacksoncoschools.com/
Tulia High School,https://www.tuliaisd.net/o/ths
W.W. Evans Memorial Elementary School,https://pa01000125.schoolwires.net/wwevanse
Essex Elementary School,https://essexes.bcps.org/
Spanaway Elementary School,https://ses.bethelsd.org/
Colorado International Language Academy,https://cilaschool.org/
Garfield School,http://www.gboe.org/
West Fork High School,https://www.westforkschool.org/
John P Fishwick Middle School,https://www.rcps.info/fishwick
Liberty Traditional Charter School - Saddleback Campus,https://ltsarizona.org/douglas-charter-school/
Hillside Intermediate School,https://hillside.naugatuck.k12.ct.us/
Socrum Elementary School,https://socrum.polkschoolsfl.com/
Thelma Barker Elementary School,https://www.jmcss.org/thelmabarker
Hawthorne Middle/High School,https://www.sbac.edu/hawthorne
Harambee Elementary School,https://harambee.isd623.org/
Juan Seguin Elementary School,https://www.fortbendisd.com/JSES
Glencoe Elementary School,https://www.glencoe.k12.ok.us/
Central Elementary School,https://ces.pike.k12.in.us/
Frank Del Olmo Elementary School,https://frankolmoes.lausd.org/
Imagine School at West Melbourne,https://imaginewm.org/
Cardozo Middle School,https://cms.riverbank.k12.ca.us/
Chapman Elementary School,https://chapmanes.lausd.org/
Medina High School,https://www.medina.k12.nd.us/
Yellow Creek School Center,https://www.bell.kyschools.us/Domain/246
Annie Camp Junior High School,https://www.jonesboroschools.net/ac
Sauk Rapids-Rice Middle School,https://srrms.isd47.org/
Holmes High School,https://www.nisd.net/holmes
Long Beach Elementary School,https://www.ocean.k12.wa.us/o/lbe
O'Hara Lanier Middle School,https://www.brazosportisd.net/schools/r__o_hara_lanier_elementary
Jack M. Fields Sr. Elementary School,https://www.humbleisd.net/jfe
Ashby Elementary School,https://www.nmrsd.org/aes
Crete Elementary School,https://crete.cm201u.org/
C.E. King High School,https://khs.sheldonisd.com/
New Boston High School,https://hs.nbschools.net/
O.B. Whaley Elementary School,https://obwhaley.eesd.org/
Crestwood Elementary School,https://crestwood.vusd.org/
New Manchester High School,https://nmhs.dcssga.org/
Albemarle High School,https://ahs.stanlycountyschools.org/
Waipahu Intermediate School,https://www.waipahuintermediate.org/
San Bernardino High School,https://sanbernardino.sbcusd.com/
Eagles Elementary School,https://www.fargo.k12.nd.us/eagles
St. James Middle School,https://www.stjschools.org/o/sjms
Webster City High School,https://highschool.webster-city.k12.ia.us/
Southside High School,https://www.beaufort.k12.nc.us/southside
Ralls High School,https://www.rallsisd.org/apps/pages/index.jsp?uREC_ID=217509&type=d
Albany High School,https://www.albanyhs.com/
Mittye P. Locke Elementary School,https://lela.pasco.k12.fl.us/
East Pennsboro Area Middle School,https://epms.epasd.org/
Porterville Military Academy,https://pma.portervilleschools.org/
New Lexington Elementary School,https://newlexington.emcsd.org/
Wilmot High School,https://www.wilmot.k12.sd.us/
Hillsboro Elementary School,https://www.hillsboroschools.org/page/elementary-school
P.S. 36 - Margaret Douglas,https://www.schools.nyc.gov/schools/M036
Hershey Elementary School,https://www.hpspanthers.org/
Central High School,https://sites.google.com/central.k12.or.us/chs-dl-directory/
Southaven Elementary School,https://ses.desotocountyschools.org/
Cordell High School,https://www.cordell.k12.ok.us/
Clinton Elementary School,https://clinton.lps.org/
Johnson County Central Middle School,https://www.jccentral.org/
Stateside Elementary School,https://www.onslow.k12.nc.us/statesidees
Fairmount Elementary School,https://www.gcbe.org/o/fes
Woodmont K-8 School,https://woodmont.fwps.org/
Cumby Elementary School,https://www.cumbyisd.net/
P.S. 87 - Bronx,https://www.ps87.org/
East Hill School,https://www.roslynschools.org/EastHills
Olathe High School,https://www.mcsd.org/olathemiddlehighschool_home.aspx
Sierra-Enterprise Elementary School,https://sierraenterprise.egusd.net/
Santa Rosa Road Academic Academy,https://www.atasusd.org/SRAA/
Congin School,https://www.westbrookschools.org/o/congin
Gorman Elementary School,https://www.gormanschool.com/
Henry Eissler Elementary School,https://www.bcsd.com/eissler
Shuksan Middle School,https://shuksan.bellinghamschools.org/
Arcola Lake Elementary School,http://api.dadeschools.net/schoolwebsite/#!/?schoolId=0101
Logan High School,https://www.logan326.net/
Pine Grove Elementary School,https://www.bcbe.org/pinegrove
Red Cloud Elementary School,https://www.visitredcloud.com/community/red-cloud-community-schools
Iredell School,https://www.iredell-isd.com/
Rogers Elementary School,https://www.rogersisd.org/
Northside Elementary School,https://nes.dekalbschools.net/
Augusta Independent School,https://www.augusta.k12.ky.us/
Yoakum High School,https://highschool.yoakumisd.net/
Amsterdam High School,https://www.gasd.org/o/ahs/
Greene Central High School,https://gchs.gcsedu.org/en-US
Lebanon Elementary School,https://www.lcusd9.org/o/les
Spanish Fork Junior High School,https://sfjhs.nebo.edu/
Jonesboro Elementary School,https://www.jonesboroschool.org/
Walter L. Kraxberger Middle School,https://www.gladstone.k12.or.us/o/kms
Hillcrest Elementary School,https://www.upperdarbysd.org/hillcrest
Overlook Elementary School,https://www.aacps.org/domain/1448
Everett Alvarez High School,https://eahs.salinasuhsd.org/
P.S. 236 - Langston Hughes,https://ps236.org/
North Miami Elementary School,https://northmiamies.net/
Bridger Elementary School,https://www.bridgerscouts.org/
West Mesa High School,https://westmesa.aps.edu/
Marguerite F. Christian Elementary School,https://margueritees.oneccps.org/
Freedom Elementary School,https://freedom.liberty25.org/
Grand View Elementary School,https://www.gvpta.com/
Michael J. Perkins Elementary School,https://www.bostonpublicschools.org/school/perkins-elementary-school
Grass Lake High School,https://www.grasslakeschools.com/glhs
Westside Elementary School,https://www.harrison.k12.ky.us/o/westside
Utica Elementary/Middle School,https://www.hinds.k12.ms.us/o/uems
Malta High School,https://www.malta.k12.mt.us/page/high-school
Whitney Middle School,https://middle.whitneyisd.org/
Cesar E. Chavez - Teacher Preparation,https://www.cde.ca.gov/schooldirectory/details?cdscode=19647330124404
Lake Hills Elementary School,https://www.mcas.k12.in.us/lakehills
Campbell Elementary School,https://www.fultonschools.org/campbelles
Taft High School,https://tafths.lausd.org/
Ell-Saline Middle/High School,https://www.ellsaline.org/
Community Elementary School,https://communityes.bedfordk12tn.com/
Scotland High School,https://www.scotland.k12.nc.us/scotlandhighschool
Bronx Leadership Academy II High School,http://www.bla2hs.org/
Lee Buice Elementary School,https://www.ectorcountyisd.org/buice
West Haralson Elementary School,https://www.haralson.k12.ga.us/westharalsonelementaryschool_home.aspx
Southwest Elementary School,https://swe.swisd.net/
Johnson Elementary School,https://charlottesvilleschools.org/johnson
Wainwright Public School,https://www.facebook.com/wainwrightpublicschool/
Dartmouth Middle School,https://dartmouth.unionsd.org/
Stanton High School,https://www.stantonmustangs.org/
Central Islip Senior High School,https://cihs.cischools.org/
Roosevelt Elementary School,https://www.smmusd.org/roosevelt
Bob Holcomb Elementary School,https://holcomb.sbcusd.com/
Explorer School,https://www.hernandoschools.org/schools/explorer-k-8
Myron D. Witter Elementary School,https://www.besd.org/o/mdws
Pinkham Elementary School,https://pinkham.vusd.org/
Tryon Elementary School,https://polkschools.org/tes/
Crystal City High School,https://crystalcchs.ss4.sharpschool.com/
Eastview Elementary School,https://eastview.fayette.k12.in.us/
Shenandoah Elementary School,https://shenandoahes.net/
Morrisonville Elementary School,https://mes.saranac.org/
Lake Weston Elementary School,https://lakewestones.ocps.net/
Kipp One Academy,https://kippchicago.org/schools-programs-2/kipp-one-academy-west-humboldt-park/
Roosevelt High School,https://www.pps.net/roosevelt-hs
Richard Haynes Elementary School,https://www.omsd.net/Haynes
Carriage Drive Elementary School,https://carriage.sanjuan.edu/
Deepwater Elementary School,https://dwe.dpisd.org/
Horicon High School,https://www.horicon.k12.wi.us/schools/high/
Numa Elementary School,https://numa.churchillcsd.com/en-US
Cambridge Community Grade School,https://www.district227.org/
H. G. Temple Elementary School,https://el.dibollisd.com/
Kendall Elementary School,https://kendall.sbcusd.com/
Dalhart Junior High School,https://www.dalhartisd.com/o/djhs
Idalia Junior/Senior High School,https://www.idaliaco.us/
Keyes Elementary School,https://www.irvingisd.net/keyes
Farley Elementary School,https://cafarley.hudson.k12.ma.us/
Madawaska Elementary School,https://mes.madawaskaschools.org/en-US
Johnson Traditional Middle School,https://www.jefferson.kyschools.us/page/johnson-traditional-middle
Cudahy Middle School,https://www.cudahysd.org/o/middle
Paradise Elementary School,https://paradise.pequeavalley.org/
West Sacramento Early College Prep Charter School,https://www.cde.ca.gov/schooldirectory/details?cdscode=57726940115329
Waterford Elementary School,https://wes.wtsd.org/
Bloomingdale High School,https://www.bdalecards.com/o/bmhs
National Trail High School,https://www.nationaltrail.k12.oh.us/
Pompano Beach Middle School,https://www.browardschools.com/pompanobeachmid
Abell Junior High School,https://www.midlandisd.net/abell
Citrus Elementary School,https://cit.upland.k12.ca.us/
Blue Ball Elementary School,https://bb.elanco.org/
Mackay Junior/Senior High School,https://www.mackayschools.org/domain/18
Eagles Nest Middle Charter School,https://www.eaglesnestschools.org/
Holcomb Elementary School,https://www.holcombschool.org/
Edison Senior High School,https://edison.mpschools.org/
Scott Middle School,https://www.lpssonline.com/scott
Bruceville-Eddy Intermediate School,https://www.beisd.net/en-US
Shoultes Elementary School,https://www.msd25.org/o/shoultes-elementary-school
Elm Street Elementary School,https://eses.cowetaschools.net/en-US
West Orange-Stark High School,https://hs.woccisd.net/
Martin High School,https://www.aisd.net/martin-high-school/
Bluff City Elementary School,http://www.sullivank12.net/bces/
Corkran Middle School,https://www.aacps.org/domain/1502
East Wake High School,https://www.wcpss.net/eastwakehs
Menominee Elementary School,https://www.plymouth.k12.in.us/menominee
Canistota High School,https://www.canistota.k12.sd.us/
Beekman Charter School,https://www.beekmancharter.org/
Ovid-Elsie High School,https://www.ovidelsie.org/page/hs
Featherstone Elementary School,https://featherstonees.pwcs.edu/index
Martinsville Middle School,https://mms.martinsville.k12.va.us/
La Crosse Elementary School,https://www.usd395.org/vnews/display.v/SEC/Elementary
Nodaway Valley Elementary School,https://www.nodawayvalley.org/
Sayre High School,https://www.sayre.k12.ok.us/
Memorial Elementary School,https://www.burlingtonpublicschools.org/schools/memorial_elementary_school
Cumberland High School,https://www.cumberland.k12.il.us/o/chs
Options School,https://littletonpublicschools.net/schools/options-secondary-program
Urban Assembly School for Media Studies,https://www.schools.nyc.gov/schools/M307
Golden Plains High School,https://usd316.k12.ks.us/
Mountainair Junior High School,https://www.mountainairpublicschools.net/page/mountainair-middle-high-school/
Merritt Brown Middle School,https://merrittbrown.bay.k12.fl.us/
English Valleys Junior/Senior High School,https://www.evbears.com/
Desert View Elementary School,https://dve.gisd.k12.nm.us/
Mission Elementary School,https://mission.redlandsusd.net/
Ben Johnson Elementary School,https://bjes.breck.kyschools.us/
James L. McGuire School,http://nprovschools.org/mcguire-main-page
Greenwood Middle School,https://www.waynecountyschools.org/o/greenwoodmiddle
Morrice Area High School,https://www.morrice.k12.mi.us/
Linden Grove Middle School,https://www.kalamazoopublicschools.com/lindengrove
Colbert Elementary School,https://www.browardschools.com/colbert
Twin Valley South High School,https://www.tvs.k12.oh.us/
Glenn Middle School,https://glenn.saisd.org/
Fair Senior High School,https://fair.mpschools.org/
Lake County High School,https://lchs.lcfalcons.net/en-US
Dodgeland Elementary School,https://www.dodgeland.k12.wi.us/schools/elementary/
East Side Elementary School,https://es.ecsc.k12.in.us/
House Creek Elementary School,https://hce.ccisd.com/
Hot Springs Elementary School,https://www.hssd.k12.sd.us/
Bassett Middle School,https://www.episd.org/bassett
Woodburn Elementary School,https://woodburnes.fcps.edu/node/1
Warren Central Junior High School,https://www.vwsd.org/o/wcjhs
Scappoose Middle School,https://www.scappoosek12.org/
Falls City Senior High School,https://www.fctigers.org/
Chamber Hill Elementary School,https://www.cdschools.org/chambershill
Hastings Middle School,https://hastingspublicschools.org/schools/hastings-middle-school/
Washington Middle School,https://wms.harrisonschools.org/
Reese Middle School,https://ms.reese.k12.mi.us/
South Elementary School,https://hinghamschools.org/south-elementary-school/
Washington Elementary School,https://washington.sgusd.k12.ca.us/
Northwest Prep Charter School,https://www.northwestprep.org/
Knox Community Elementary School,https://es.knox.k12.in.us/
New Vision High School,https://newvision.mantecausd.net/
Eladio R. Martinez Learning Center,https://www.dallasisd.org/martinez
Johnsonville Middle School,https://jms.fsd5.org/
Rio Rosales,https://rioschools.org/riorosales/
Hamburg Middle School,https://hms.hsdlions.org/
Riverside Middle School,https://www.csdmi.org/o/rms
Northeast Range Elementary School,https://www.northeastrangeschool.net/
P.S. 206 - Jose Celso Barbosa,https://www.psms206.org/
Northmor Elementary School,https://www.knightpride.org/
Pulaski County Elementary School,https://www.pulaskicountyschools.org/apps/pages/index.jsp?uREC_ID=3811546&type=d
City College Academy of the Arts,https://www.ccaa293.org/
West Vigo High School,https://web.vigoschools.org/wvhs/
Hancock Place Middle School,https://ms.hancock.k12.mo.us/o/hms
Melrose Park Elementary School,https://mpe.columbiak12.com/en-US
North Ward Elementary School,https://alleganps.org/ecc/
Wilson High School,https://www.wilson.k12.ok.us/76423_2
Irish Elementary School,https://iri.psdschools.org/
John A. Holmes High School,https://sites.google.com/ecps.k12.nc.us/johnaholmeshighschool/school-home
Herman Avenue Elementary School,https://www.aecsd.education/herman
Grapeland Junior High School,https://www.grapelandisd.net/Domain/8
Freedom Classical Academy,https://www.freedomclassical.org/
Lakeland Elementary School,https://www.erschools.com/schools/lakeland-elementary/
Jahn World Language School,https://www.jahnschool.com/
Cromie Elementary School,http://cromie.wcskids.com/
Brady Elementary School,http://www.bradyschools.org/
Kingston High School,https://www.kingstonk12.org/
Bishop Elementary School,https://bishop.eisd.org/
Clinton Central Elementary School,https://clintoncentral.org/
Waverly Central High School,https://wchs.hcss.org/
Bancroft-Rosalie Elementary School,https://www.bancroft-rosalie.org/
Academy Charter High School,https://academycharterhs.org/
Chambersburg Area Middle School - South,https://www.casdonline.org/Domain/122
Linwood Elementary School,https://le.chichestersd.org/
Pillager Middle School,https://www.isd116.org/
Clifford Wise Intermediate/Middle School,https://www.medinacsd.org/Domain/176
Johnston Hopkins Elementary School,https://jhe.iberiaschools.org/
Del Valle High School,https://dvhs.dvisd.net/
Stark County Elementary School,https://es.stark100.com/
Jefferson Middle School,https://jefferson.fortwayneschools.org/
Walter J. Meyer Elementary School,https://wjm.tombstoneschools.org/en-US?showHomepage=true
Bonham Elementary School,https://www.bonhamisd.org/
Prince Street School,https://pse.wicomicoschools.org/
Whittier Middle School,https://www.sf.k12.sd.us/o/wms
Roland Rogers Elementary School,https://gtpsnj.wixsite.com/rolandrogers
M.S. 250 - West Side Collaborative Middle School,https://www.schools.nyc.gov/schools/M250
Big Lake Middle School,https://blms.biglakeschools.org/
Muscatine High School,https://mhs.muscatine.k12.ia.us/
Maplewood Elementary School,https://www.browardschools.com/maplewood
Romeo Elementary School,https://www.marionschools.net/roe
Barton Elementary School,https://www.irvingisd.net/Barton
Shirley Rominger Intermediate School,https://sris.wintersjusd.org/en-US
Westfield Area Middle School,https://westfield.k12.wi.us/
Lenape Tech,https://www.lenape.k12.pa.us/
Premier High School of Pharr,https://premierhighschools.com/
H.G. Hill Middle School,https://hghill.mnps.org/
Edgewood Elementary School,https://edgewood-isd.net/instructional/elementary
Arickaree Undivided High School,https://www.arickaree.org/
Gordon School,https://gordonelementaryschool.prsd1435.org/
Clovis Point Intermediate School,https://www.eastmont206.org/cpe/about-us
Hercules Middle School,https://www.wccusd.net/herculesmiddle
Davis Middle School,https://www.daviswolves.org/
Northumberland High School,https://nucpsnhs.ss5.sharpschool.com/
Orosi High School,http://ohs.cojusd.org/
Tantasqua Regional High School - Technical Division,https://technical.tantasqua.org/
Honaker High School,https://hhs.russell.k12.va.us/
Dassa McKinney Elementary School,https://dassa-mckinney.moniteau.org/
Brush Creek Elementary School,https://bce.jcsc.org/
Lunenburg Schools,https://www.kingdomeast.org/lunenburg-school
Mission High School,https://mhs.mcisd.net/
Miller County Elementary School,https://mes.miller.k12.ga.us/
Malvern Elementary School,https://www.brownlocalschools.com/o/es
Knowledge Quest Academy,https://www.kqatrailblazers.org/
William B. Beam Intermediate School,https://www.gaston.k12.nc.us/wbbeam
Central Intermediate School,https://www.oes141.org/o/central
Canon City High School,https://www.canoncityschools.org/schools/high-school
W. Kenneth Doyle Middle School,https://www.newyorkschools.com/schools/w-kenneth-doyle-middle-school.html
Westview Elementary School,https://www.olatheschools.org/westview
Olga L. Reed Elementary School,https://www.orcuttschools.net/olga-reed/
Vallivue Academy,https://academy.vallivue.org/
Montclair Elementary School,https://www.garlandisdschools.net/montclair
William H. Loesche School,https://loesche.philasd.org/
Chase Street Elementary School,https://chasestes.lausd.org/
Winnfield Senior High School,https://winn7.gabbarthost.com/
Price Elementary School,https://www.southsanisd.net/Domain/16
Jonesville Elementary School,https://www.facebook.com/p/Jonesville-Elementary-School-100064706885172/
Somerset Academy Lakes,https://www.somersetacademylakes.com/
La Vega Intermediate School - H.P. Miles Campus,https://lvi.lavegaisd.org/
Skyline Elementary School,https://www.skylineschools.info/
Lookeba-Sickles High School,https://www.lookeba.k12.ok.us/
Condor High School at Oxnard College,https://www.condorhigh.us/
Rehoboth Road Middle School,https://www.rehobothroadmiddle.education/
Community Health Academy of the Heights,https://www.chah.nyc/
Wesley Ray Elementary School,https://sites.google.com/wpsb.info/wreschool/home
Snowcrest Junior High School,https://snowcrest.wsd.net/
Jackson-Via Elementary School,https://jackson-via.charlottesvilleschools.org/
Math/Science Research/Tech Magnet,https://www.masths.org/
Bloomfield Junior/Senior High School,https://www.bloomfield.k12.in.us/
Merry Oaks International Academy Elementary,https://www.cmsk12.org/merryoaksES
Omak High School,https://www.omaksd.org/schools/omakpioneers/index
Margate Middle School,https://www.browardschools.com/margate
Lindbergh Elementary School,https://lindbergh.mpsaz.org/
Detroit Edison Public School Academy,https://depsa.npfeschools.org/
Rod Paige Middle School,https://rpms.lawcosd.org/
Upton High School,https://uhs.weston7.org/en-US
Magee Middle School,https://mageems.tusd1.org/
Charleston Development Academy,https://www.ccsdschools.com/developmentacademy
Kensington Park Elementary School,https://kpelions.com/
Vista Visions Academy,https://vva.vistausd.org/
Sebring Middle School,https://sms.highlands.k12.fl.us/
Moose Lake Elementary School,https://www.facebook.com/MooseLakeCommunitySchool/#:~:text=mooselake.k12.mn.us
Park Elementary School,https://pes.highlands.k12.fl.us/
Wapanucka High School,https://www.wpss.k12.ok.us/
Summer Creek Middle School,https://www.crowleyisdtx.org/summercreek
Onida Elementary School,https://www.abo.k12.sd.us/
N. Judson-San Pierre Junior/Senior High School,https://www.njsp.k12.in.us/jshs-home
John F. Kennedy Elementary School,https://jfkelementary.org/
Laurel Highlands Senior High School,https://www.lhsd.org/high-school
Brophy Elementary School,https://www.framingham.k12.ma.us/brophy
Bear Valley Elementary School,https://bearvalley.mvusd.net/
Jackson Middle School,https://www.clarkecountyschools.org/Domain/11
Aulander Elementary School,https://www.bertie.k12.nc.us/domain/41
Turner Elementary School,https://turner.k12.mt.us/
Armando Cuellar Middle School,https://cuellar.wisd.us/
Lowpoint-Washburn Junior/Senior High School,https://www.lwcusd21.com/
Driftwood Elementary School,https://www.facebook.com/driftwood2cj/
Southgate Elementary School,https://www.garlandisdschools.net/southgate
